127.0.0.1 - - [28/Dec/2024:19:25:06 +0000] "OPTIONS /sanctum/csrf-cookie HTTP/1.1" 200 137 "-" "curl/7.88.1"
192.168.0.1 - - [28/Dec/2024:19:38:40 +0000] "OPTIONS /sanctum/csrf-cookie HTTP/1.1" 200 193 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
192.168.0.1 - - [28/Dec/2024:19:38:40 +0000] "OPTIONS /sanctum/csrf-cookie HTTP/1.1" 200 193 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
192.168.0.1 - - [28/Dec/2024:19:38:40 +0000] "OPTIONS /api/test HTTP/1.1" 200 192 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
192.168.0.1 - - [28/Dec/2024:19:38:40 +0000] "OPTIONS /api/test HTTP/1.1" 200 192 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
127.0.0.1 - - [28/Dec/2024:19:40:04 +0000] "OPTIONS /sanctum/csrf-cookie HTTP/1.1" 200 137 "-" "curl/7.88.1"
127.0.0.1 - - [28/Dec/2024:20:08:35 +0000] "OPTIONS /sanctum/csrf-cookie HTTP/1.1" 200 137 "-" "curl/7.88.1"
127.0.0.1 - - [28/Dec/2024:20:17:27 +0000] "OPTIONS /sanctum/csrf-cookie HTTP/1.1" 204 459 "-" "curl/7.88.1"
192.168.0.1 - - [28/Dec/2024:20:17:43 +0000] "OPTIONS /sanctum/csrf-cookie HTTP/1.1" 204 469 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
192.168.0.1 - - [28/Dec/2024:20:17:43 +0000] "OPTIONS /sanctum/csrf-cookie HTTP/1.1" 204 469 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
192.168.0.1 - - [28/Dec/2024:20:17:44 +0000] "GET /sanctum/csrf-cookie HTTP/1.1" 204 1239 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
192.168.0.1 - - [28/Dec/2024:20:17:44 +0000] "GET /sanctum/csrf-cookie HTTP/1.1" 204 1239 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
192.168.0.1 - - [28/Dec/2024:20:17:44 +0000] "OPTIONS /api/test HTTP/1.1" 204 483 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
192.168.0.1 - - [28/Dec/2024:20:17:44 +0000] "OPTIONS /api/test HTTP/1.1" 204 483 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
192.168.0.1 - - [28/Dec/2024:20:17:45 +0000] "POST /api/test HTTP/1.1" 422 519 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
192.168.0.1 - - [28/Dec/2024:20:17:45 +0000] "POST /api/test HTTP/1.1" 422 519 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
